"id";"temperature";"humidity";"weight";"smoke";"created_at";"active";"rack_id"
2;20.0;50.0;30.0;1.0;"2023-07-11 22:19:18";1;1
3;21.0;80.0;19.0;1.0;"2023-07-11 22:29:41";1;1
4;21.351;67.023;81.216;1.0;"2023-07-12 13:15:05";1;1
5;21.51;70.2;78.641;1.0;"2023-07-12 13:15:05";1;2
6;21.856;77.116;78.33;1.0;"2023-07-12 13:15:05";1;3
7;21.901;78.027;78.289;1.0;"2023-07-12 13:15:05";1;4
8;20.537;50.733;80.483;1.0;"2023-07-12 13:15:05";1;5
9;21.99;79.792;78.209;1.0;"2023-07-12 13:15:05";1;6
10;20.096;41.917;80.086;1.0;"2023-07-12 13:15:10";1;1
11;20.463;49.268;80.417;1.0;"2023-07-12 13:15:10";1;2
12;21.17;63.393;78.947;1.0;"2023-07-12 13:15:10";1;3
13;20.236;44.722;79.788;1.0;"2023-07-12 13:15:10";1;4
14;20.325;46.493;79.708;1.0;"2023-07-12 13:15:10";1;5
15;21.317;66.341;81.185;1.0;"2023-07-12 13:15:10";1;6
16;20.279;45.571;79.749;1.0;"2023-07-12 13:26:28";1;1
17;20.666;53.328;79.4;1.0;"2023-07-12 13:26:28";1;2
18;20.319;46.376;79.713;1.0;"2023-07-12 13:26:28";1;3
19;21.469;69.381;78.678;1.0;"2023-07-12 13:26:28";1;4
20;21.86;77.199;78.326;1.0;"2023-07-12 13:26:28";1;5
21;21.377;67.531;81.239;1.0;"2023-07-12 13:26:28";1;6
22;21.431;68.611;78.713;1.0;"2023-07-12 13:26:33";1;1
23;20.522;50.448;80.47;1.0;"2023-07-12 13:26:33";1;2
24;20.819;56.386;80.737;1.0;"2023-07-12 13:26:33";1;3
25;21.159;63.19;78.956;1.0;"2023-07-12 13:26:33";1;4
26;21.088;61.753;79.021;1.0;"2023-07-12 13:26:33";1;5
27;21.542;70.847;78.612;1.0;"2023-07-12 13:26:33";1;6
28;20.057;41.14;80.051;1.0;"2023-07-12 13:26:40";1;1
29;20.85;56.999;80.765;1.0;"2023-07-12 13:26:40";1;2
30;21.738;74.76;81.564;1.0;"2023-07-12 13:26:40";1;3
31;20.824;56.488;80.742;1.0;"2023-07-12 13:26:40";1;4
32;20.661;53.214;79.405;1.0;"2023-07-12 13:26:40";1;5
33;21.062;61.248;79.044;1.0;"2023-07-12 13:26:40";1;6
34;21.929;78.572;78.264;1.0;"2023-07-12 13:28:35";1;1
35;21.365;67.291;81.228;1.0;"2023-07-12 13:28:35";1;2
36;20.457;49.134;80.411;1.0;"2023-07-12 13:28:35";1;3
37;20.425;48.505;80.383;1.0;"2023-07-12 13:28:35";1;4
38;21.554;71.075;78.602;1.0;"2023-07-12 13:28:35";1;5
39;21.024;60.477;79.079;1.0;"2023-07-12 13:28:35";1;6
40;21.521;70.426;78.631;1.0;"2023-07-12 13:28:40";1;1
41;20.653;53.059;79.412;1.0;"2023-07-12 13:28:40";1;2
42;20.72;54.402;79.352;1.0;"2023-07-12 13:28:40";1;3
43;21.248;64.956;81.123;1.0;"2023-07-12 13:28:40";1;4
44;21.277;65.533;81.149;1.0;"2023-07-12 13:28:40";1;5
45;20.302;46.037;79.728;1.0;"2023-07-12 13:28:40";1;6
46;20.89;57.805;80.801;1.0;"2023-07-12 13:30:43";1;1
47;20.22;44.402;79.802;1.0;"2023-07-12 13:30:43";1;2
48;20.977;59.541;80.879;1.0;"2023-07-12 13:30:43";1;3
49;20.51;50.195;80.459;1.0;"2023-07-12 13:30:43";1;4
50;21.015;60.296;79.087;1.0;"2023-07-12 13:30:43";1;5
51;21.063;61.27;79.043;1.0;"2023-07-12 13:30:43";1;6
52;21.983;79.658;78.215;1.0;"2023-07-12 13:30:48";1;1
53;20.477;49.54;80.429;1.0;"2023-07-12 13:30:48";1;2
54;21.545;70.903;78.609;1.0;"2023-07-12 13:30:48";1;3
55;20.943;58.858;80.849;1.0;"2023-07-12 13:30:48";1;4
56;21.124;62.488;78.988;1.0;"2023-07-12 13:30:48";1;5
57;20.625;52.498;79.438;1.0;"2023-07-12 13:30:48";1;6
58;20.981;59.627;80.883;1.0;"2023-07-12 13:30:53";1;1
59;21.987;79.736;78.212;1.0;"2023-07-12 13:30:53";1;2
60;21.247;64.934;81.122;1.0;"2023-07-12 13:30:53";1;3
61;21.009;60.18;79.092;1.0;"2023-07-12 13:30:53";1;4
62;21.147;62.945;78.967;1.0;"2023-07-12 13:30:53";1;5
63;21.218;64.355;81.096;1.0;"2023-07-12 13:30:53";1;6
64;20.148;42.961;80.133;1.0;"2023-07-12 13:30:58";1;1
65;20.78;55.607;79.298;1.0;"2023-07-12 13:30:58";1;2
66;21.669;73.38;81.502;1.0;"2023-07-12 13:30:58";1;3
67;20.129;42.586;80.116;1.0;"2023-07-12 13:30:58";1;4
68;21.129;62.576;78.984;1.0;"2023-07-12 13:30:58";1;5
69;20.128;42.567;80.116;1.0;"2023-07-12 13:30:58";1;6
70;20.345;46.902;79.689;1.0;"2023-07-12 13:31:03";1;1
71;21.28;65.61;81.152;1.0;"2023-07-12 13:31:03";1;2
72;21.072;61.434;79.035;1.0;"2023-07-12 13:31:03";1;3
73;21.924;78.479;78.268;1.0;"2023-07-12 13:31:03";1;4
74;21.895;77.896;78.295;1.0;"2023-07-12 13:31:03";1;5
75;20.271;45.415;79.756;1.0;"2023-07-12 13:31:03";1;6
76;21.564;71.279;78.592;1.0;"2023-07-12 13:31:08";1;1
77;21.893;77.852;78.297;1.0;"2023-07-12 13:31:08";1;2
78;21.518;70.365;78.634;1.0;"2023-07-12 13:31:08";1;3
79;21.508;70.162;78.643;1.0;"2023-07-12 13:31:08";1;4
80;20.649;52.98;79.416;1.0;"2023-07-12 13:31:08";1;5
81;21.427;68.546;78.715;1.0;"2023-07-12 13:31:08";1;6
82;21.705;74.099;81.534;1.0;"2023-07-12 13:31:13";1;1
83;21.549;70.973;78.606;1.0;"2023-07-12 13:31:13";1;2
84;21.175;63.502;78.942;1.0;"2023-07-12 13:31:13";1;3
85;21.67;73.399;81.503;1.0;"2023-07-12 13:31:13";1;4
86;20.174;43.482;80.157;1.0;"2023-07-12 13:31:13";1;5
87;21.651;73.015;81.486;1.0;"2023-07-12 13:31:13";1;6
88;20.85;56.999;80.765;1.0;"2023-07-12 13:31:18";1;1
89;21.862;77.239;78.324;1.0;"2023-07-12 13:31:18";1;2
90;21.712;74.247;81.541;1.0;"2023-07-12 13:31:18";1;3
91;21.739;74.786;81.565;1.0;"2023-07-12 13:31:18";1;4
92;21.198;63.965;78.922;1.0;"2023-07-12 13:31:18";1;5
93;21.975;79.493;78.223;1.0;"2023-07-12 13:31:18";1;6
94;21.42;68.403;78.722;1.0;"2023-07-12 13:31:23";1;1
95;21.18;63.593;78.938;1.0;"2023-07-12 13:31:23";1;2
96;21.824;76.479;78.358;1.0;"2023-07-12 13:31:23";1;3
97;21.222;64.444;81.1;1.0;"2023-07-12 13:31:23";1;4
98;20.016;40.317;80.014;1.0;"2023-07-12 13:31:23";1;5
99;20.851;57.027;80.766;1.0;"2023-07-12 13:31:23";1;6
100;21.436;68.729;78.707;1.0;"2023-07-12 13:31:28";1;1
101;20.333;46.651;79.701;1.0;"2023-07-12 13:31:28";1;2
